User_ID,Age,Gender,Total_App_Usage_Hours,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Location,Procrastination_Score
1,56,Male,0.1467639015496809,0.4726712856043111,24,0.8877755511022043,0.11,0.4789579158316632,Los Angeles,0.7242484969939879
2,46,Male,0.1030082041932543,0.9838337182448036,18,0.935871743486974,0.884,0.4849699398797595,Chicago,0.7555110220440882
3,32,Female,0.5724703737465816,0.2686682063125481,11,0.9178356713426852,0.342,0.565130260521042,Houston,0.7767535070140279
4,25,Female,0.0182315405651777,0.4064665127020785,21,0.6372745490981964,0.684,0.9158316633266532,Phoenix,0.7486973947895792
5,38,Male,0.4840474020054695,0.8914549653579678,14,0.6312625250501002,0.026,0.7995991983967935,New York,0.6985971943887775
6,56,Female,0.210574293527803,0.0023094688221709,21,0.4048096192384769,0.6900000000000001,0.4509018036072143,Chicago,0.42324649298597183
7,36,Male,0.3473108477666362,0.0392609699769053,24,0.753507014028056,0.316,0.7174348697394789,Los Angeles,0.7390781563126252
8,40,Male,0.7775752051048312,0.6035411855273287,11,0.533066132264529,0.056,0.5851703406813626,Chicago,0.5539078156312625
9,28,Male,0.9434822242479488,0.907621247113164,9,0.6793587174348696,0.61,0.4909819639278556,Phoenix,0.604008016032064
10,28,Male,0.072926162260711,0.2386451116243264,16,0.4288577154308617,0.24,0.190380761523046,New York,0.3334669338677354
11,41,Female,0.536007292616226,0.4695919938414165,21,0.7334669338677354,0.386,0.4629258517034067,Chicago,0.625250501002004
12,53,Female,0.8851412944393802,0.4503464203233256,21,0.8256513026052104,0.08,0.2444889779559118,Phoenix,0.5931863727454909
13,57,Female,0.0829535095715587,0.4726712856043111,4,0.1462925851703406,0.148,0.9138276553106212,Los Angeles,0.4533066132264528
14,41,Male,0.8268003646308113,0.6220169361046959,11,0.8336673346693386,0.298,0.3346693386773546,Houston,0.634068136272545
15,20,Male,0.3591613491340019,0.4695919938414165,15,0.5410821643286573,0.09,0.9519038076152304,Los Angeles,0.7054108216432866
16,39,Male,0.3226982680036463,0.4472671285604311,17,0.8456913827655309,0.91,0.533066132264529,New York,0.7206412825651302
17,19,Female,0.9799453053783044,0.4742109314857582,5,0.4328657314629258,0.006,0.6312625250501002,Los Angeles,0.5122244488977955
18,41,Male,0.2014585232452142,0.5904541955350269,13,0.3807615230460921,0.484,0.5410821643286573,Los Angeles,0.4448897795591182
19,47,Female,0.6955332725615315,0.5365665896843725,23,0.9178356713426852,0.124,0.1282565130260521,Los Angeles,0.6020040080160319
20,55,Female,0.8240656335460346,0.8537336412625096,16,0.25250501002004,0.308,0.3747494989979959,Los Angeles,0.30140280561122235
21,19,Female,0.0410209662716499,0.0484988452655889,27,0.8456913827655309,0.926,0.0981963927855711,New York,0.546693386773547
22,38,Female,0.6718322698268002,0.8329484218629715,10,0.4849699398797594,0.162,0.6212424849699398,Phoenix,0.5394789579158316
23,50,Female,0.9544211485870556,0.8437259430331026,20,0.5150300601202404,0.966,0.4448897795591182,Chicago,0.4869739478957915
24,29,Female,0.1248860528714676,0.2840646651270208,21,0.3086172344689378,0.206,0.7775551102204408,Houston,0.49619238476953903
25,39,Male,0.8988149498632634,0.4626635873749037,18,0.5751503006012023,0.742,0.218436873747495,Chicago,0.43246492985971935
26,42,Male,0.5961713764813127,0.4380292532717475,4,0.3266533066132264,0.546,0.1623246492985971,Chicago,0.2609218436873747
27,44,Female,0.618049225159526,0.2178598922247883,10,0.0400801603206412,0.884,0.4048096192384768,Houston,0.18597194388777544
28,59,Female,0.6144029170464904,0.3964588144726713,24,0.2725450901803607,0.554,0.9258517034068136,New York,0.5338677354709419
29,45,Male,0.299908842297174,0.0438799076212471,8,0.0060120240480961,0.534,0.7094188376753506,Houston,0.2873747494989979
30,33,Female,0.9380127620783956,0.2771362586605081,14,0.9799599198396792,0.196,0.4168336673346692,New York,0.7547094188376752
31,32,Female,0.9498632634457612,0.8167821401077753,17,0.9679358717434868,0.166,0.5170340681362725,Chicago,0.7875751503006011
32,20,Male,0.6271649954421148,0.2840646651270208,27,0.3967935871743486,0.916,0.0821643286573146,New York,0.270941883767535
33,54,Female,0.7857793983591612,0.8183217859892224,10,0.7294589178356713,0.328,0.9839679358717434,Phoenix,0.8312625250501002
34,24,Female,0.6134913400182316,0.5311778290993072,6,0.346693386773547,0.372,0.6653306613226452,Houston,0.47414829659318625
35,38,Female,0.4858705560619872,0.8799076212471131,17,0.6733466933867734,0.76,0.284569138276553,Phoenix,0.5178356713426853
36,26,Male,0.6627164995442114,0.5742879137798307,22,0.8076152304609218,0.338,0.5851703406813626,Chicago,0.7186372745490981
37,56,Male,0.5542388331814039,0.029253271747498,27,0.9478957915831664,0.952,0.1082164328657314,Houston,0.6120240480961924
38,35,Male,0.5989061075660893,0.6751347190146266,19,0.4008016032064128,0.738,0.9659318637274548,Chicago,0.6268537074148296
39,21,Female,0.7857793983591612,0.0438799076212471,15,0.785571142284569,0.5980000000000001,0.1723446893787575,Phoenix,0.5402805611222444
40,42,Female,0.4822242479489517,0.4503464203233256,20,0.2665330661322645,0.8800000000000001,0.6472945891783567,Chicago,0.4188376753507014
41,31,Male,0.0410209662716499,0.9291762894534256,4,0.9919839679358716,0.05,0.2444889779559118,Houston,0.6929859719438877
42,26,Female,0.1640838650865998,0.1647421093148575,15,0.0260521042084168,0.258,0.7174348697394789,Houston,0.30260521042084165
43,43,Female,0.4393801276207839,0.3895304080061586,15,0.6052104208416833,0.466,0.7755511022044087,Chicago,0.6733466933867734
44,19,Female,0.7265268915223336,0.7297921478060048,24,0.661322645290581,0.2259999999999999,0.6733466933867734,Houston,0.6661322645290579
45,37,Female,0.5952597994530537,0.8822170900692841,17,0.68937875751503,0.7440000000000001,0.6132264529058116,Houston,0.6589178356713427
46,45,Female,0.6517775752051048,0.6705157813702849,22,0.1202404809619238,0.92,0.8917835671342684,Chicago,0.42885771543086165
47,24,Male,0.4804010938924339,0.2578906851424172,29,0.939879759519038,0.424,0.0761523046092184,Phoenix,0.5943887775551101
48,25,Female,0.617137648131267,0.674364896073903,12,0.1823647294589178,0.342,0.3286573146292584,Houston,0.24088176352705404
