User_ID,Age,Gender,Total_App_Usage_Hours,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Location
1,56,Male,0.14676390154968091,0.4726712856043111,24,0.8877755511022043,0.11022044088176353,0.47895791583166325,Los Angeles
2,46,Male,0.10300820419325432,0.9838337182448036,18,0.9358717434869739,0.8857715430861722,0.4849699398797595,Chicago
3,32,Female,0.5724703737465816,0.2686682063125481,11,0.9178356713426853,0.3426853707414829,0.565130260521042,Houston
4,25,Female,0.018231540565177756,0.40646651270207856,21,0.6372745490981964,0.6853707414829658,0.9158316633266532,Phoenix
5,38,Male,0.4840474020054695,0.8914549653579678,14,0.6312625250501002,0.026052104208416832,0.7995991983967935,New York
6,56,Female,0.21057429352780307,0.0023094688221709098,21,0.4048096192384769,0.691382765531062,0.4509018036072143,Chicago
7,36,Male,0.34731084776663623,0.03926096997690531,24,0.753507014028056,0.3166332665330661,0.7174348697394789,Los Angeles
8,40,Male,0.7775752051048312,0.6035411855273287,11,0.533066132264529,0.056112224448897796,0.5851703406813626,Chicago
9,28,Male,0.9434822242479488,0.9076212471131639,9,0.6793587174348696,0.6112224448897795,0.49098196392785565,Phoenix
10,28,Male,0.07292616226071102,0.23864511162432644,16,0.4288577154308617,0.24048096192384766,0.19038076152304606,New York
11,41,Female,0.536007292616226,0.46959199384141653,21,0.7334669338677354,0.3867735470941883,0.4629258517034067,Chicago
12,53,Female,0.8851412944393802,0.45034642032332567,21,0.8256513026052104,0.08016032064128256,0.2444889779559118,Phoenix
13,57,Female,0.08295350957155878,0.4726712856043111,4,0.14629258517034066,0.14829659318637273,0.9138276553106212,Los Angeles
14,41,Male,0.8268003646308113,0.6220169361046959,11,0.8336673346693386,0.2985971943887775,0.33466933867735466,Houston
15,20,Male,0.3591613491340019,0.46959199384141653,15,0.5410821643286573,0.09018036072144288,0.9519038076152303,Los Angeles
16,39,Male,0.3226982680036463,0.4472671285604311,17,0.8456913827655309,0.9118236472945891,0.533066132264529,New York
17,19,Female,0.9799453053783045,0.47421093148575827,5,0.43286573146292584,0.0060120240480961915,0.6312625250501002,Los Angeles
18,41,Male,0.2014585232452142,0.5904541955350269,13,0.3807615230460921,0.48496993987975945,0.5410821643286573,Los Angeles
19,47,Female,0.6955332725615315,0.5365665896843725,23,0.9178356713426853,0.12424849699398796,0.1282565130260521,Los Angeles
20,55,Female,0.8240656335460346,0.8537336412625096,16,0.25250501002004005,0.30861723446893785,0.3747494989979959,Los Angeles
21,19,Female,0.041020966271649945,0.048498845265588925,27,0.8456913827655309,0.9278557114228456,0.09819639278557113,New York
22,38,Female,0.6718322698268002,0.8329484218629715,10,0.48496993987975945,0.1623246492985972,0.6212424849699398,Phoenix
23,50,Female,0.9544211485870557,0.8437259430331026,20,0.5150300601202404,0.9679358717434868,0.4448897795591182,Chicago
24,29,Female,0.12488605287146765,0.28406466512702083,21,0.30861723446893785,0.2064128256513026,0.7775551102204408,Houston
25,39,Male,0.8988149498632634,0.4626635873749037,18,0.5751503006012023,0.7434869739478958,0.218436873747495,Chicago
26,42,Male,0.5961713764813127,0.4380292532717475,4,0.3266533066132264,0.5470941883767535,0.16232464929859716,Chicago
27,44,Female,0.618049225159526,0.2178598922247883,10,0.04008016032064128,0.8857715430861722,0.40480961923847686,Houston
28,59,Female,0.6144029170464904,0.3964588144726713,24,0.2725450901803607,0.5551102204408817,0.9258517034068136,New York
29,45,Male,0.29990884229717407,0.04387990762124712,8,0.0060120240480961915,0.5350701402805611,0.7094188376753506,Houston
30,33,Female,0.9380127620783956,0.2771362586605081,14,0.9799599198396792,0.19639278557114226,0.41683366733466926,New York
31,32,Female,0.9498632634457611,0.8167821401077753,17,0.9679358717434868,0.1663326653306613,0.5170340681362725,Chicago
